TierID;CollarID;UTC_Date;UTC_Time;LMT_Date;LMT_Time;Latitude;Longitude;Height;DOP;X;Y;twilight_start;sunrise;sunset;twilight_end;moonilumination;daytime;ActMean;Trajectory;distance;speed;timelag
RE10;13573;04.06.2014;17:01:36;04.06.2014;18:01:36;47.2536838;8.573024;706.23;3;685867;234262;04.06.2014 03:52;04.06.2014 04:31;04.06.2014 20:16;04.06.2014 20:55;0.401971567;T;56.22666667;RE10;29.15475947;0.002712828;10747
RE10;13573;04.06.2014;20:00:43;04.06.2014;21:00:43;47.2537913;8.5726643;678.84;4.8;685840;234273;04.06.2014 03:52;04.06.2014 04:31;04.06.2014 20:16;04.06.2014 20:55;0.401971567;N;80.53657407;RE10;22.02271555;0.002038952;10801
RE10;13573;04.06.2014;23:00:44;05.06.2014;00:00:44;47.2539854;8.5726796;671.15;4.6;685841;234295;04.06.2014 03:52;04.06.2014 04:31;04.06.2014 20:16;04.06.2014 20:55;0.401971567;N;40.54555556;RE10;8.246211251;0.000763609;10799
RE10;13573;05.06.2014;02:00:43;05.06.2014;03:00:43;47.2539167;8.5727077;661.87;2.4;685843;234287;05.06.2014 03:52;05.06.2014 04:31;05.06.2014 20:17;05.06.2014 20:56;0.507716491;N;78.61537037;RE10;37.36308338;0.003459224;10801
RE10;13573;05.06.2014;05:00:44;05.06.2014;06:00:44;47.2542349;8.5728451;657.77;2.8;685853;234323;05.06.2014 03:52;05.06.2014 04:31;05.06.2014 20:17;05.06.2014 20:56;0.507716491;T;70.6;RE10;59.05929224;0.005456832;10823
RE10;13573;05.06.2014;08:01:07;05.06.2014;09:01:07;47.2537703;8.5724723;670.1;3.4;685825;234271;05.06.2014 03:52;05.06.2014 04:31;05.06.2014 20:17;05.06.2014 20:56;0.507716491;T;63.15194444;RE10;121.7949096;0.011278351;10799
RE10;13573;05.06.2014;11:01:06;05.06.2014;12:01:06;47.2546917;8.5733436;689.81;4;685890;234374;05.06.2014 03:52;05.06.2014 04:31;05.06.2014 20:17;05.06.2014 20:56;0.507716491;T;34.19666667;RE10;3.16227766;0.000293428;10777
RE10;13573;05.06.2014;14:00:43;05.06.2014;15:00:43;47.2547175;8.5733325;691.24;3.2;685889;234377;05.06.2014 03:52;05.06.2014 04:31;05.06.2014 20:17;05.06.2014 20:56;0.507716491;T;58.57083333;RE10;65.30696747;0.006030748;10829
RE10;13573;05.06.2014;17:01:12;05.06.2014;18:01:12;47.2546121;8.5724872;691.17;3;685825;234364;05.06.2014 03:52;05.06.2014 04:31;05.06.2014 20:17;05.06.2014 20:56;0.507716491;T;53.40888889;RE10;82.76472679;0.007684034;10771
RE10;13573;05.06.2014;20:00:43;05.06.2014;21:00:43;47.2549529;8.5734542;688.83;2.4;685898;234403;05.06.2014 03:52;05.06.2014 04:31;05.06.2014 20:17;05.06.2014 20:56;0.507716491;N;77.4412037;RE10;27.20294102;0.002518558;10801
