Anz_reh_lokalisationen;x;y;DG_us;DG_os
1;684725;237250;0.24170971;0.521719068
0;684725;237275;0.147671788;0.395851927
1;684725;237300;0.184611796;0.783686616
0;684725;237325;0.295356521;0.898864103
9;684725;237350;0.373289408;0.803808316
11;684725;237375;0.457624596;0.918990875
3;684725;237400;0.241972656;0.975902645
0;684725;237425;0.364698058;0.839056798
0;684725;237450;0.302816794;0.89368662
0;684700;237100;0.161291088;0.732641986
1;684700;237125;0.453098152;0.973448279
2;684700;237150;0.297827057;0.843377283
11;684700;237175;0.300404145;0.708443204
0;684700;237200;0.18502478;0.879011157
0;684700;237225;0.120546575;0.947043614
0;684700;237250;0.570370929;0.922794124
1;684700;237275;0.310155379;0.565846861
0;684700;237300;0.165936181;0.857763693
0;684700;237325;0.090212323;0.761272823
2;684700;237350;0.223992726;0.766288036
1;684700;237375;0.378470153;0.818002027
3;684700;237400;0.20727073;0.956643008
0;684700;237425;0.180787786;0.952489861
0;684700;237450;0.239874085;0.948209947
1;684675;237125;0.453782857;0.844929009
2;684675;237150;0.638227498;0.896374242
20;684675;237175;0.613402928;0.897216029
6;684675;237200;0.209892094;0.898123736
0;684675;237225;0.113306101;0.928062889
0;684675;237250;0.278026398;0.785339764
1;684675;237275;0.117211271;0.83162779
0;684675;237300;0.254483683;0.841247466
0;684675;237325;0.307222088;0.826724141
0;684675;237350;0.21309727;0.603833669
0;684675;237375;0.193725895;0.781318465
0;684675;237400;0.342489547;0.96802739
1;684675;237425;0.131881882;0.990152136
1;684675;237450;0.467973814;0.942794125
0;684650;237150;0.395629631;0.772251527
0;684650;237175;0.608874628;0.934295136
3;684650;237200;0.402014884;0.922474646
1;684650;237225;0.237817083;0.560786008
4;684650;237250;0.412916345;0.954589252
1;684650;237275;0.1926829;0.814670385
0;684650;237300;0.06831555;0.823737325
0;684650;237325;0.217148799;0.796602439
0;684650;237350;0.104997746;0.60136917
0;684650;237375;0.069238394;0.825689658
0;684650;237400;0.070643398;0.850248484
0;684650;237425;0.21253049;0.844416841
0;684650;237450;0.224305184;0.924949294
