pres_abs;nmb;x;y;forest;slope;dist_road_all;dist_road_only;dist_build;forest_prop;us;os;GPStot;id;time_of_day;stoerungskategorie
0;0;681875;237725;1;15.36596;69.39694;69.39694;180.7113;0.948219383;0.148580122;0.78296146;420;RE03;night;gering
1;2;681875;237750;1;12.04837;47.55269;47.55269;204.0994;0.938858014;0;0.163286004;420;RE03;night;gering
1;1;681875;237775;1;15.80887;26.48549;26.48549;227.8257;0.939533339;0.021805274;0.627789047;420;RE03;night;gering
1;2;681850;237750;1;11.03012;36.72785;36.72785;213.6758;0.939106924;8.41E-12;0.530425963;420;RE03;night;gering
1;1;680925;238200;1;3.722385;48.04245;48.04245;229.6747;0.999835808;0.245436105;0.473123732;119;RE05;night;gering
1;2;680925;238225;1;3.756794;33.17333;33.17333;209.7629;0.969115751;0.045638945;0.923427992;119;RE05;night;gering
0;0;680900;238175;1;3.880314;77.9493;77.9493;238.2252;1;0.206896552;1;119;RE05;night;gering
1;2;680900;238200;1;4.215074;66.79562;66.79562;216.2204;0.999893094;0.103448276;1;119;RE05;night;gering
1;1;680900;238225;1;3.595291;44.06324;44.06324;194.9391;0.978373441;0.054766734;0.995943205;119;RE05;night;gering
0;0;680900;238250;1;3.989929;20.22594;20.22594;174.6461;0.909542263;0.246957404;0.794117647;119;RE05;night;gering
0;0;680875;237975;1;4.902021;31.7678;31.7678;420.716;1;0.101419878;0.359533469;119;RE05;night;gering
1;4;680875;238000;1;5.727279;49.48855;49.48855;396.2348;1;0.054766734;0.393509128;119;RE05;night;gering
0;0;680875;238025;1;5.706173;39.50738;39.50738;371.8225;1;0.054766734;0.32505071;119;RE05;night;gering
0;0;680875;238050;1;5.180708;20.05727;20.05727;347.4939;1;0.054766734;0.152636917;119;RE05;night;gering
0;0;680875;238075;1;5.712865;4.229077;4.229077;323.2677;1;0.045638945;0.843813387;119;RE05;night;gering
1;1;680875;238100;1;3.962944;17.20543;17.20543;299.1688;1;0.025862069;0.782454361;119;RE05;night;gering
0;0;680875;238125;1;3.484411;36.53216;36.53216;275.2308;1;0.004056795;0.905172414;119;RE05;night;gering
0;0;680875;238150;1;3.523073;56.50421;56.50421;251.4995;1;0;1;119;RE05;night;gering
0;0;680875;238175;1;3.364542;76.32099;76.32099;228.0395;1;0;0.847363083;119;RE05;night;gering
0;0;680875;238200;1;3.874877;73.96206;73.96206;204.9439;0.999996773;0.105476673;0.851419878;119;RE05;night;gering
1;1;680875;238225;1;2.971355;49.67162;49.67162;182.3514;0.989221818;0.101419878;0.851419878;119;RE05;night;gering
1;1;680875;238250;1;3.456641;25.36607;25.36607;160.4744;0.933586117;0.094320487;0.943711968;119;RE05;night;gering
0;0;680875;238275;1;5.345914;4.750267;4.750267;139.6497;0.840433935;0.021805274;1;119;RE05;night;gering
1;1;680850;238000;1;6.83682;36.53216;36.53216;391.7943;1;0.062880325;0.50862069;119;RE05;night;gering
0;0;680850;238025;1;6.256909;50.32395;50.32395;367.0868;1;0.053752535;0.553245436;119;RE05;night;gering
1;1;680850;238050;1;4.422742;33.7101;33.7101;342.4219;1;2.64E-12;0.336206897;119;RE05;night;gering
0;0;680850;238075;1;4.498126;14.27799;14.27799;317.8093;1;0;0.644523326;119;RE05;night;gering
0;0;680850;238100;1;3.854246;4.85267;4.85267;293.2623;1;5.67E-12;0.677484787;119;RE05;night;gering
0;0;680850;238125;1;3.673364;21.75747;21.75747;268.7987;1;0.096348884;0.949290061;119;RE05;night;gering
0;0;680850;238150;1;3.888804;41.70331;41.70331;244.4438;1;0.050709939;1;119;RE05;night;gering
0;0;680850;238175;1;3.145382;61.33819;61.33819;220.2334;1;0.182555781;0.945233266;119;RE05;night;gering
1;1;680850;238200;1;2.947665;75.20798;75.20798;196.2212;1;0.071501014;0.954361055;119;RE05;night;gering
1;2;680850;238225;1;3.253295;55.50532;55.50532;172.4899;0.994921341;0.190162272;0.621703854;119;RE05;night;gering
1;1;680850;238250;1;3.985743;32.15438;32.15438;149.1737;0.935624196;0.145537525;0.525862069;119;RE05;night;gering
1;3;680850;238275;1;3.200942;10.80113;10.80113;126.5022;0.841840258;0.296653144;0.923427992;119;RE05;night;gering
0;0;680850;238300;1;5.457325;7.04821;7.04821;104.8944;0.73372925;0.004056795;1;119;RE05;night;gering
0;0;680825;238000;1;5.995307;22.82314;22.82314;388.9132;1;0.151115619;0.605983773;119;RE05;night;gering
0;0;680825;238025;1;6.277463;42.55386;42.55386;364.0103;1;4.34E-12;0.302231237;119;RE05;night;gering
0;0;680825;238050;1;4.067186;47.8665;47.8665;339.1217;1;0.084685598;0.79969574;119;RE05;night;gering
0;0;680825;238075;1;5.413008;28.68513;28.68513;314.2507;1;0.190162272;0.930020284;119;RE05;night;gering
0;0;680825;238100;1;4.73557;9.53622;9.53622;289.402;1;0.151115619;0.554766734;119;RE05;night;gering
0;0;680825;238125;1;4.220152;7.781101;7.781101;264.5818;1;0.122718053;0.969574037;119;RE05;night;gering
1;1;680825;238150;1;3.231175;26.84211;26.84211;239.7989;1;0.201825558;0.828600406;119;RE05;night;gering
0;0;680825;238175;1;2.842965;47.4535;47.4535;215.0663;1;0.14959432;0.856490872;119;RE05;night;gering
0;0;680825;238200;1;2.752516;67.25674;67.25674;190.4036;0.999876553;0.203346856;0.59989858;119;RE05;night;gering
0;0;680825;238225;1;3.05472;65.45415;65.45415;165.8419;0.973185052;0.472109533;0.605476673;119;RE05;night;gering
0;0;680825;238250;1;3.21157;44.67696;44.67696;141.4339;0.905213563;0.69168357;0.685598377;119;RE05;night;gering
1;2;680825;238275;1;3.573615;24.98259;24.98259;117.2756;0.817113414;0.094827586;0.752535497;119;RE05;night;gering
0;0;680825;238300;1;3.960987;7.83835;7.83835;93.56067;0.714808432;0.050709939;0.929513185;119;RE05;night;gering
0;0;680800;238000;1;6.223407;8.534563;8.534563;387.6265;1;0.122718053;0.474137931;119;RE05;night;gering
1;7;680800;238025;1;7.089347;27.91431;27.91431;362.6352;1;7.93E-12;0.480730223;119;RE05;night;gering
1;4;680800;238050;1;5.718523;47.03848;47.03848;337.6452;1;0.100405679;0.830628803;119;RE05;night;gering
1;4;680800;238075;1;5.925166;43.43342;43.43342;312.6568;1;0.026369168;0.995943205;119;RE05;night;gering
1;4;680800;238100;1;3.929104;24.02009;24.02009;287.6704;1;0.073022312;0.942190669;119;RE05;night;gering
0;0;680800;238125;1;3.487927;5.626632;5.626632;262.6867;1;0.398073022;0.439655172;119;RE05;night;gering
0;0;680800;238150;1;3.364918;13.36848;13.36848;237.7063;1;0.022312373;0.077079108;119;RE05;night;gering
0;0;680800;238175;1;2.905292;32.55317;32.55317;212.7306;1;0.098884381;0.230730223;119;RE05;night;gering
1;1;680800;238200;1;3.059211;52.5777;52.5777;187.7613;0.988085787;0.21653144;0.030425964;119;RE05;night;gering
0;0;680800;238225;1;3.14713;69.83074;69.83074;162.8014;0.921350377;0.629310345;0.581643002;119;RE05;night;gering
1;1;680800;238250;1;3.214362;60.20428;60.20428;137.8561;0.836136701;0.150608519;0.881338743;119;RE05;night;gering
1;3;680800;238275;1;3.27888;42.51446;42.51446;112.935;0.757554046;0.199290061;1;119;RE05;night;gering
1;1;680800;238300;0.9650371;3.022791;24.89017;24.89017;88.05884;0.671869176;0.151115619;0.970081136;119;RE05;night;gering
1;1;680775;237975;1;5.917975;22.8448;22.8448;412.9226;1;0.118154158;0.956389452;119;RE05;night;gering
0;0;680775;238000;1;5.721419;5.305301;5.305301;387.9498;1;0;0.860040568;119;RE05;night;gering
1;8;680775;238025;1;8.102637;13.36848;13.36848;362.9808;1;0.022312373;0.876774848;119;RE05;night;gering
1;4;680775;238050;1;6.035391;32.55317;32.55317;338.0163;1;0.123732251;0.974137931;119;RE05;night;gering
1;10;680775;238075;1;5.244792;49.97917;49.97917;313.0576;1;0.021805274;0.622718053;119;RE05;night;gering
1;1;680775;238100;1;3.53646;37.79292;37.79292;288.106;1;0.067444219;0.298174442;119;RE05;night;gering
