ccrs;meat;gender;member;age_group;age_group_2
1000631760;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000631760;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000620785;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000625048;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000625048;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000625048;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;0;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000626170;1;M;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;1;F;Mitarbeitende;AK1;15 - 25-jaehrig
1000614110;0;F;Mitarbeitende;AK1;15 - 25-jaehrig
