DatumUhrzeit;Fuss_IN;Fuss_OUT;Velo_IN;Velo_OUT;lon;lat;Standort
04.01.2017 15:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 16:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 17:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 18:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 19:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 20:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 21:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 22:00;0;0;0;0;2684287;1234731;Sihlwald
04.01.2017 23:00;0;0;0;0;2684287;1234731;Sihlwald
05.01.2017 00:00;0;0;0;0;2684287;1234731;Sihlwald
